,排名,上年排名,公司名称(中英文),营业收入(百万美元),利润(百万美元),国家
187,188,177,韩国电力公司（KOREA ELECTRIC POWER),52491.5,1148.9,韩国
188,189,121,英国劳埃德银行集团（LLOYDS BANKING GROUP),52422.4,4901.9,英国
189,190,194,惠普公司（HP),52056.0,2526,美国
190,191,184,马来西亚国家石油公司（PETRONAS),52027.7,8761.9,马来西亚
191,192,202,日本三井住友金融集团（SUMITOMO MITSUI FINANCIAL GROUP),52026.0,6628.2,日本
192,193,174,拜耳集团（BAYER),51933.1,8269.3,德国
193,194,199,中国医药集团（SINOPHARM),51844.4,690.1,中国
194,195,198,西农（WESFARMERS),51599.7,2165.9,澳大利亚
195,196,197,Finatis公司（FINATIS),51578.0,-66.5,法国
196,197,--,印度石油天然气公司（OIL & NATURAL GAS),51219.3,3429.3,印度
197,198,228,新日铁住金（NIPPON STEEL & SUMITOMO METAL),51163.9,1760.6,日本
198,199,191,巴西JBS公司（JBS),51117.6,167.4,巴西
199,200,178,洛克希德－马丁（LOCKHEED MARTIN),51048.0,2002,美国
200,201,200,法国国家人寿保险公司（CNP ASSURANCES),50737.4,1447.9,法国
201,202,238,广州汽车工业集团（GUANGZHOU AUTOMOBILE INDUSTRY GROUP),50322.7,989.2,中国
202,203,186,诺华公司（NOVARTIS),50135.0,7703,瑞士
203,204,215,日本伊藤忠商事株式会社（ITOCHU),49732.4,3613.3,日本
204,205,232,俄罗斯联邦储蓄银行（SBERBANK),49697.5,12869,俄罗斯
205,206,213,德国大陆集团（CONTINENTAL),49608.2,3364.3,德国
206,207,175,美国国际集团（AMERICAN INTERNATIONAL GROUP),49520.0,-6084,美国
207,208,234,迪奥（DIOR (CHRISTIAN)),49221.0,2525,法国
208,209,193,东京海上日动火灾保险公司（TOKIO MARINE HOLDINGS),48731.0,2565,日本
209,210,244,Centene公司（CENTENE),48572.0,828,美国
210,211,212,德国联邦铁路公司（DEUTSCHE BAHN),48124.2,839.8,德国
211,212,187,思科公司（CISCO SYSTEMS),48005.0,9609,美国
212,213,216,招商银行（CHINA MERCHANTS BANK),47950.7,10379.4,中国
213,214,195,莱茵集团（RWE),47832.3,2189.1,德国
214,215,214,HCA 医疗保健公司（HCA HEALTHCARE),47653.0,2216,美国
215,216,217,印度国家银行（STATE BANK OF INDIA),47551.1,-706.8,印度
216,217,275,Energy Transfer Equity公司（ENERGY TRANSFER EQUITY),47487.0,954,美国
217,218,224,蒂森克虏伯（THYSSENKRUPP),47388.6,-715.7,德国
218,219,209,起亚汽车（KIA MOTORS),47360.3,856.4,韩国
219,220,252,中国太平洋保险（集团）股份有限公司（CHINA PACIFIC INSURANCE),47318.8,2169.4,中国
220,221,188,MS&AD保险集团控股有限公司（MS&AD INSURANCE),47094.9,1390.5,日本
221,222,248,中国铝业公司（ALUMINUM CORP. OF CHINA),46683.5,-428.6,中国
222,223,189,德意志银行（DEUTSCHE BANK),46511.2,-846.5,德国
223,224,223,西班牙对外银行（BANCO BILBAO VIZCAYA ARGENTARIA),46507.8,3966.7,西班牙
224,225,210,Orange公司（ORANGE),46324.1,2148.5,法国
225,226,227,万喜集团（VINCI),46301.5,3096.5,法国
226,227,245,上海浦东发展银行股份有限公司（SHANGHAI PUDONG DEVEL. BANK),46295.2,8138.1,中国
227,228,218,伍尔沃斯集团（WOOLWORTHS GROUP),46178.9,1156.1,澳大利亚
228,229,236,电装公司（DENSO),46106.1,2893.3,日本
229,230,338,中国恒大集团（CHINA EVERGRANDE GROUP),46018.6,3606.1,中国
230,231,225,圣戈班集团（SAINT-GOBAIN),46001.7,1765.2,法国
231,232,247,印度塔塔汽车公司（TATA MOTORS),45841.7,1394.4,印度
232,233,229,邦吉公司（BUNGE),45794.0,160,美国
